Species	497-992	647-796	990-1332	1367-1743	1778-2188	1919-2059	2323-2726	2719-3114	2867-3014	3006-3144	3379-3751	3536-3692	3699-3861	3851-4002	4102-4352	4695-5287	5160-5624	5476-5791	5682-5887	5887-6091	6268-6648	6612-6955	6864-7115	7135-7405	7591-8046	7842-8092	8077-8311	8346-8614	8690-9033	9375-10059	9773-10170	10065-10356	10442-10818	11246-12049	11527-11807	12340-13152	12605-12869	12802-12998	13182-13561	13619-14055	13900-14180	14288-14675	14552-14815	14928-15303	15237-15545	15744-16250	15916-16087	16225-16533	16561-16896	16922-17282	17732-18541	18180-18627	18744-19307	18865-18985	18961-19056	19233-19504	19379-19524	19811-20242	20126-20440	20271-20415	20837-21402	21073-21308	21272-21470	21693-22113	22105-22516	22234-22362	22463-22691	22635-22806	22845-23054	23243-23640	23671-24098	23976-24280	24298-24619	24713-25127	24961-25208	25210-25458	25453-25695	25830-26206	26428-27025	27027-27625	27543-28058	27754-27964	28099-28443	28655-29210	28922-29188	29388-29853	30257-31125	30740-31222	31534-32327	31801-32067	31886-31970	32073-32259	32449-32824	32987-33524	33503-34018	34039-34574	34577-35114	35083-35588	35631-36178	36025-36418	36423-36820	36753-37082	36970-37186	37203-37435	37737-38270	38226-38714	38939-39651	39067-39194	39477-39886	39678-39878	39785-39891	39907-40028	40084-40260	40464-40843	40815-41165	41224-41632	41595-41965	41855-42114	42342-42828	42742-43141	43060-43377	43317-43573	43804-44290	43995-44185	44898-45800	45174-45449	45254-45333	45882-46509	45960-46037	46095-46229	47032-47968	47316-47599	49192-51067	49427-49661	49657-49886	49896-50134	50131-50365	50368-50604	50605-50841	50830-51054	51042-51253	51229-51415	51430-51630	51639-51847	51846-52052	52043-52239	52281-52518	52665-53048	53067-53468	53460-53852	53837-54213	54223-54608	54603-54982	55001-55398	55290-55578	55854-56417	56163-56471	56369-56574	56811-57252	57140-57468	57449-57757	57759-58068	58072-58384	58335-58597	58550-58764	58756-58961	58921-59085	59080-59238	59251-59421	59435-59618	59558-59680	59758-59957	59915-60071	60081-60246	60265-60448	60428-60590	60578-60727	60698-60817	60813-60927	60932-61050	61078-61223	61180-61281	61285-61389	61408-61530	61511-61613	61613-61714	61732-61850	61829-61925	61917-62004	62285-62652	62612-62938	62869-63125	63036-63202	63256-63475	63488-63719	63736-63983	63920-64103	64184-64447	64281-64377	64428-64574	64546-64663	64696-64845	64824-64951	64954-65083	65093-65231	65232-65370	65348-65463	65492-65635	65627-65761	65732-65836	65808-65883	65950-66091	66070-66189	66146-66221	66245-66343	66461-66676	66696-66930	66908-67119	67157-67405	67346-67534	67567-67787	67764-67960	67935-68105	68142-68348	68594-69045	69019-69443	69193-69366	69360-69526	69814-70267	70623-71431	71071-71518	71370-71668	71898-72425	72186-72473	72359-72531	72886-73412	73393-73899	73903-74412	74426-74948	74942-75457	75462-75981	75984-76505	76498-77011	77047-77595	77467-77886	77832-78196	77993-78153	78718-79442	79070-79421	79328-79585	79707-80085	79953-80198	80348-80742	81317-82285	81496-81674
Corallochytrium_limacisporum	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	0	2	2	2	2	2	0	0	0	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	0	0	0
Craspedida_sp_ATCC_50635	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	1	2	2	2	1	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
Crassostrea_gigas	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	2	0	2	2	2	2	2	2	2	0	1	2	2	2	2	2	2	1	2	0	2	0	2	2	2	2	0	2	2	2	2	2	2	1	2	2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	0	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	1	2	2	2	2	2	2	0	1	2	2	2	2	2	2	2	0	2	2	2	0	2	0	1	2	2	1	2	0	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	1	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
Creolimax_fragrantissima	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2	0	0	0	1	2	0	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
Didymoeca_costata_ATCC_PRA_389	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
Helgoeca_nana_ATCC_50073	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
Homo_sapiens	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
Hydra_magnipapillata	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	0
Ichthyophonus_hoferi	1	1	2	2	2	0	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	0	2	2	0	0	0	1	1	0	2	2	2	2	2	2	2	1	2	1	2	0	0	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	0	2	2	2	1	0	2	2	2	2	2	2	2	2	2	0	1	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	1	1	2	2	1	2	0
Lottia_gigantea	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2	1	2	1	2	2	2	0	0	2	2	0	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0
