Species	1-112	113-247	248-375	376-472	473-550	551-676	677-913	914-1057	1058-1313	1314-1448	1449-1602	1603-1860	1861-1978	1979-2101	2102-2163	2164-2353	2354-2537	2538-2712	2713-2897	2898-3045	3046-3271	3272-3388	3389-3614	3615-3827	3828-3980	3981-4150	4151-4290	4291-4520	4521-4738	4739-4866	4867-5112	5113-5348	5349-5539	5540-5670	5671-5774	5775-5892	5893-6023	6024-6131	6132-6413	6414-6629	6630-6778	6779-7011	7012-7185	7186-7362	7363-7581	7582-7734	7735-7869	7870-7973	7974-8143	8144-8329	8330-8473	8474-8779	8780-8954	8955-9108	9109-9368	9369-9471	9472-9616	9617-9735	9736-9837	9838-9921	9922-10066	10067-10283	10284-10526	10527-10774	10775-11025	11026-11176	11177-11441	11442-11596	11597-11724	11725-11864	11865-12060	12061-12216	12217-12304	12305-12458	12459-12726	12727-12905	12906-13101	13102-13298	13299-13424	13425-13567	13568-13768	13769-14008	14009-14091	14092-14241	14242-14503	14504-14624	14625-14749	14750-14996	14997-15148	15149-15315	15316-15600	15601-15882	15883-16169	16170-16430	16431-16616	16617-16866	16867-17059	17060-17405	17406-17543	17544-17721	17722-17906	17907-18050	18051-18203	18204-18283	18284-18412	18413-18805	18806-18994	18995-19206	19207-19331	19332-19577	19578-19731	19732-19903	19904-19991	19992-20186	20187-20417	20418-20660	20661-20848	20849-21026	21027-21119	21120-21200	21201-21385	21386-21757	21758-21951	21952-22120	22121-22351	22352-22535	22536-22763	22764-23061	23062-23207	23208-23503	23504-23613	23614-23875	23876-24115	24116-24273	24274-24578	24579-24780	24781-25084	25085-25245	25246-25366	25367-25439	25440-25552	25553-25693	25694-25822	25823-25980	25981-26308	26309-26435	26436-26576	26577-26750	26751-26862	26863-27082	27083-27234	27235-27400	27401-27571	27572-27725	27726-28037	28038-28247	28248-28402	28403-28612	28613-28878	28879-29061	29062-29304	29305-29470	29471-29686	29687-29875	29876-30162	30163-30306	30307-30462	30463-30704	30705-30965	30966-31155	31156-31363	31364-31499	31500-31884	31885-32290	32291-32378	32379-32603	32604-32771	32772-33053	33054-33238	33239-33430	33431-33539	33540-33754	33755-34026	34027-34236	34237-34363	34364-34739	34740-35074	35075-35210	35211-35368	35369-35519	35520-35720	35721-35815	35816-36050	36051-36380	36381-36549	36550-36776	36777-36968	36969-37206	37207-37379	37380-37644	37645-37860	37861-38009	38010-38209	38210-38484	38485-38824	38825-39092	39093-39310	39311-39440	39441-39562	39563-39779	39780-39955	39956-40068	40069-40197	40198-40576	40577-40673	40674-40791	40792-40901	40902-40991	40992-41335	41336-41662	41663-41865	41866-42122	42123-42224	42225-42352	42353-42453	42454-42618	42619-42839	42840-42935	42936-43082	43083-43248	43249-43430	43431-43585	43586-43700	43701-43883	43884-44184	44185-44420	44421-44578	44579-44739	44740-44941	44942-45169	45170-45407	45408-45724	45725-45926	45927-46138	46139-46263	46264-46469	46470-46637	46638-46856	46857-47114	47115-47436	47437-47519	47520-47840	47841-48031	48032-48379	48380-48669	48670-48795	48796-49013	49014-49106	49107-49434	49435-49626	49627-49853	49854-50018	50019-50169	50170-50460	50461-50729	50730-51000	51001-51183	51184-51445	51446-51694	51695-51812	51813-51961	51962-52175	52176-52441	52442-52638	52639-52787	52788-52963	52964-53128	53129-53275	53276-53483	53484-53700	53701-53910	53911-54024	54025-54165	54166-54372	54373-54628	54629-54866	54867-55044	55045-55279	55280-55627	55628-55939	55940-56114	56115-56386	56387-56580	56581-56799	56800-57266	57267-57501	57502-57946	57947-58032	58033-58331	58332-58551	58552-58946	58947-59219	59220-59298	59299-59486	59487-59695	59696-59939	59940-60337	60338-60573	60574-60821	60822-61092	61093-61340	61341-61553	61554-61700	61701-61840	61841-62152	62153-62368	62369-62722	62723-62939	62940-63205	63206-63425	63426-63588	63589-63830	63831-64171	64172-64383	64384-64548	64549-64830	64831-64985	64986-65269	65270-65677	65678-65876	65877-66134	66135-66381	66382-66630	66631-66884	66885-67070	67071-67261	67262-67469	67470-67639	67640-67869	67870-68008	68009-68418	68419-68716	68717-68921	68922-69102	69103-69359	69360-69574	69575-69877	69878-70057	70058-70330	70331-70489	70490-70657	70658-70856	70857-71023	71024-71307	71308-71508	71509-71693	71694-71812	71813-71996	71997-72229	72230-72474	72475-72721	72722-73025	73026-73248	73249-73525	73526-73811	73812-74073	74074-74323	74324-74674	74675-74895	74896-75148	75149-75416	75417-75791	75792-76171	76172-76378	76379-76901	76902-77195	77196-77442	77443-77692	77693-77903	77904-78221	78222-78509	78510-78791	78792-79055	79056-80013	80014-80392	80393-80732	80733-81133	81134-81468	81469-82205	82206-82471	82472-82618	82619-82938	82939-83096	83097-83498	83499-83962	83963-84129	84130-84414	84415-84724	84725-85098	85099-85480	85481-85972	85973-86304	86305-87027	87028-87628	87629-87840	87841-88384
Lubomirskia_baicalensis	2	2	2	2	2	2	0	0	2	2	0	0	0	2	2	0	0	0	2	2	0	2	0	0	2	2	0	0	0	0	0	2	0	0	2	2	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	2	0	2	0	2	2	2	0	2	2	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	2	2	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Trichoplax_adhaerens	2	2	2	2	0	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Cyanea_capillata	2	2	2	2	2	2	0	2	2	2	2	0	0	0	2	0	2	2	2	0	0	1	0	0	0	2	2	0	0	2	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	2	0	2	0	2	0	0	0	2	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clytia_hemisphaerica	2	2	2	0	0	0	2	0	2	2	2	2	0	0	2	0	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	0	0	0	2	2	2	0	1	2	2	2	2	2	2	0	0	0	2	2	0	0	1	2	0	0	2	0	0	2	2	2	2	0	2	2	0	0	2	0	2	0	0	2	2	2	2	2	0	2	2	2	2	0	0	2	0	2	2	2	0	2	2	0	2	2	0	2	0	0	0	0	2	2	2	2	0	2	2	2	0	2	2	0	2	2	2	0	2	2	0	2	2	2	2	2	0	2	0	2	2	0	2	2	2	0	2	0	0	0	0	0	2	0	2	2	0	0	0	0	0	2	0	2	0	0	2	2	2	2	2	1	2	0	0	2	2	0	0	0	2	2	0	0	2	2	0	0	0	2	0	0	2	0	2	2	0	2	0	2	2	2	2	1	2	0	2	2	2	0	2	2	2	2	2	2	0	2	2	0	0	2	2	2	0	0	0	0	2	2	2	2	2	2	0	2	2	2	2	0	0	2	0	2	0	0	2	0	0	2	0	2	0	2	0	2	0	0	0	2	0	2	2	2	1	0	1	0	1	0	0	2	2	2	2	2	0	0	0	0	0	2	0	0	2	0	0	2	0	0	0	0	2	2	0	0	1	2	0	0	1	2	2	0	2	0	0	0	0	0	2	0	0	2	2	2	2	0	2	2	0	0	2	2	2	0	2	2	0	2	2	0	2	2	0	2	0	1	1	2	2	0	2	2	2	0	2	2	2	1	0	2	0	2	2	0	2	2	0	2	0	2	2	2	1	2	2	2	2	2	0	2	2	2	0	0	2	0	2	1	1	2	1	1	2	2	0	2	0	2	2	0	1	1	1	1	0	2	1	1	2	0	1	0	2	0	0	0	1	1	1	1	1	1
Hydra_magnipapillata	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	1	2	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	1	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	2	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	1	2	0	2	2	0	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	0	2	2	1	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	1	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	0	0	1	2	0	2	0	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	2	2	2	0	2	2	2	0	2	2	2	0	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2
Hydractinia_echinata	2	2	2	2	2	2	2	1	2	2	2	0	0	2	2	2	0	2	0	0	0	2	2	0	2	0	0	2	0	2	0	1	2	0	2	0	2	2	0	2	1	0	0	0	2	0	2	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	2	1	1	2	1	0	0	0	0	1	0	2	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	2	0	2	1	0	0	0	0	0	0	2	0	0	0	0	2	2	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	1	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0
Podocoryna_carnea	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	0	0	2	0	2	0	0	0	0	2	2	2	2	2	0	0	2	0	2	2	0	0	0	0	0	2	0	2	2	2	0	2	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	2	0	1	2	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	1	2	0	0	0	0	0	2	0	2	2	2	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acropora_millepora	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	0	2	2	2	2	0	1	2	1	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	0	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	1	2	2	1	2	2	2	2	1	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	0	1	1	0	0	2	2	2	1	2	2	2	1	0	1	2	1	2	1	0	2	1	2	1	2	1	1	1	1	2	2	2	2	2	1	2	1	0	1	1	1	1	0	1	2	1	0	2	1	2
Acropora_palmata	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	0	0	2	2	2	2	2	2	0	0	2	1	2	2	2	1	0	0	2	0	2	2	2	2	0	1	2	0	0	2	2	0	2	2	0	0	2	2	2	2	2	2	2	0	2	0	2	0	2	2	2	0	0	2	2	2	2	2	2	1	2	2	2	2	2	2	0	0	0	2	0	1	2	2	2	0	2	0	0	1	2	0	0	2	0	1	0	2	0	2	2	2	0	2	0	2	2	2	2	0	2	2	2	2	2	0	2	0	2	2	0	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	0	2	2	0	0	1	0	0	0	1	0	2	2	2	0	2	0	1	0	1	2	2	0	2	2	2	2	2	2	0	2	2	2	0	2	2	0	1	0	2	2	2	0	1	0	2	0	0	2	0	0	2	0	2	0	0	2	2	0	0	2	0	0	2	1	0	2	1	2	1	0	2	1	2	2	0	0	2	2	2	0	2	1	0	0	2	0	2	0	0	0	1	2	2	0	1	0	0	2	2	0	2	2	0	0	2	0	2	2	0	2	0	0	0	2	2	2	0	0	0	2	2	2	0	1	1	0	2	0	0	2	0	0	2	0	0	2	2	0	2	1	0	1	2	2	1	0	0	0	0	0	2	1	0	2	0	0	2	0	2	0	0	1	1	0	0	1	0	2	2	0	2	2	0	0	2	2	2	0	2	2	2	0	0	0	1	0	0	1	0	0	2	0	0	2	1	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0
Porites_astreoides	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	2	0	2	0	2	2	0	0	0	2	0	0	2	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	2	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	2	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0
Montastraea_faveolata	2	2	2	2	0	2	0	2	1	2	0	2	2	2	0	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	1	0	2	2	2	2	2	0	2	0	2	2	2	2	2	2	0	2	2	2	2	1	0	2	2	2	2	2	2	0	2	0	2	0	0	1	0	2	0	2	1	2	2	2	2	2	0	2	0	2	0	2	2	2	0	2	2	2	2	2	0	2	2	0	1	2	0	2	2	0	0	0	2	0	0	0	2	2	0	2	2	2	0	0	2	2	2	2	2	0	0	2	2	1	2	0	1	2	2	2	0	0	2	0	2	0	0	2	2	2	2	2	0	2	1	0	2	2	2	0	2	0	0	1	2	0	0	2	2	0	2	0	2	1	2	0	0	2	0	0	2	2	0	2	1	2	1	0	0	0	0	2	1	0	2	0	0	0	2	2	0	1	0	2	0	1	2	2	1	0	0	2	2	0	2	1	0	2	1	2	2	2	1	0	0	2	2	2	0	2	0	0	1	2	2	2	0	2	0	0	2	0	2	0	1	2	2	0	0	0	0	2	0	2	0	0	0	0	0	0	1	2	0	0	2	0	0	0	2	0	2	2	0	0	0	0	0	0	2	0	2	2	0	2	0	0	2	2	2	0	2	2	0	0	2	0	2	1	2	2	0	2	0	1	2	2	0	1	2	0	0	0	0	1	0	0	1	2	0	0	0	2	1	2	0	1	2	0	1	0	0	0	1	0	2	2	2	0	0	1	0	1	0	2	0	2	0	0	0	0	2	2	0	1	0	2	0	0	1	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	2	2	1	0	0	1	0	0	1	1	0	0	0	1	0
Nematostella_vectensis	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	0	2	2	2	2	0	2	2	1	2	1	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	1	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	0	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	1	2	2	2	1	1	2	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2
Anemonia_viridis	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	1	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	0	2	2	2	0	0	1	0	2	2	0	2	1	2	0	1	0	2	2	0	1	2	2	0	0	0	2	2	2	2	0	2	0	0	0	1	1	0	2	0	2	2	0	2	0	0	2	0	2	2	0	0	2	0	2	0	2	0	0	0	2	2	0	0	2	2	0	0	0	0	2	0	2	2	0	0	2	1	2	0	1	1	2	2	2	0	0	2	0	0	0	0	2	0	2	2	0	0	0	0	1	1	0	2	2	0	0	2	2	2	2	0	0	0	0	0	2	0	0	2	0	2	0	0	2	0	2	1	0	0	2	0	2	2	2	2	0	2	2	0	1	0	0	2	0	0	0	1	2	2	2	0	0	2	0	0	0	0	0	0	2	2	2	0	0	0	0	2	2	2	0	2	0	0	0	0	0	2	2	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	2	2	0	0	1	0	2	0	2	0	0	0	0	2	2	0	0	0	0	2	2	0	2	2	1	2	2	0	0	2	0	2	2	0	0	0	0	2	0	0	1	0	0	2	0	1	0	0	0	0	1	2	1	0	0	2	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	1	0	0	0	0	1	2	0	1	0	0	0	2	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	0	0	0
Aiptasia_pallida	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
