Species	1-222	223-603	604-1077	1078-1699	1700-2281	2282-2456	2457-2570	2571-2821	2822-2904	2905-3156	3157-3359	3360-3485	3486-3659	3660-3877	3878-3990	3991-4184	4185-4411	4412-4706	4707-4969	4970-5129	5130-5426	5427-5749	5750-6399	6400-6563	6564-7018	7019-7565	7566-7701	7702-7854	7855-7980	7981-8397	8398-8501	8502-8754	8755-9166	9167-9938	9939-10295	10296-10556	10557-11223	11224-11458	11459-11596	11597-12041	12042-12394	12395-12732	12733-12965	12966-13201	13202-13564	13565-13819	13820-14219	14220-15456	15457-15577	15578-15756	15757-16230	16231-16486	16487-16642	16643-17202	17203-17454	17455-17860	17861-18022	18023-18162	18163-18355	18356-18599	18600-18980	18981-19127	19128-19293	19294-19583	19584-20004	20005-20288	20289-20793	20794-21161	21162-21684	21685-22130	22131-22459	22460-23019	23020-23274	23275-23476	23477-23753	23754-24054	24055-24329	24330-24558	24559-24886	24887-25104	25105-25287	25288-25598	25599-26387	26388-26550	26551-26889	26890-27324	27325-27679	27680-27870	27871-28038	28039-29053	29054-29946	29947-30178	30179-30553	30554-31065	31066-31291	31292-31481	31482-31895	31896-32199	32200-32857	32858-33106	33107-33441	33442-33700	33701-34152	34153-34532	34533-34873	34874-35356	35357-35658	35659-35881	35882-36174	36175-36794	36795-37562	37563-38209	38210-38840	38841-39153	39154-39536	39537-40123	40124-40733	40734-41178	41179-41703	41704-41796	41797-42051	42052-42190	42191-42319	42320-42448	42449-42701	42702-42859	42860-43014	43015-43319	43320-43474	43475-43669	43670-44144	44145-44320	44321-44448	44449-44549	44550-44886	44887-45030	45031-45261	45262-45376	45377-45476	45477-45630	45631-45907	45908-46086	46087-46322	46323-46481	46482-46585	46586-46924	46925-47212	47213-47477	47478-47943	47944-48316	48317-48493	48494-48743	48744-48981	48982-49356	49357-49678	49679-49950	49951-50246	50247-50516	50517-50764	50765-51210	51211-52008	52009-52395	52396-52489	52490-52644	52645-52715	52716-53107	53108-53409	53410-53572	53573-53775	53776-53884	53885-54281	54282-54550	54551-54768	54769-55035	55036-55589	55590-55760	55761-56074	56075-56719	56720-57195	57196-57864	57865-58261	58262-59977	59978-60162	60163-60341	60342-60453	60454-60683	60684-60856	60857-60990	60991-61364	61365-61496	61497-61656	61657-61791	61792-62052	62053-62352	62353-62488	62489-62790	62791-63022	63023-63148	63149-63365	63366-63846	63847-63978	63979-64334	64335-64473	64474-64651	64652-65033	65034-65587	65588-65894	65895-66204	66205-66544	66545-67106	67107-67660	67661-68062
Beroe_sp_Queensland_Australia	2	0	0	1	1	1	2	0	0	2	0	0	0	2	2	2	0	0	2	2	2	0	0	2	0	2	2	0	0	1	0	0	2	2	0	1	1	1	0	0	0	0	0	2	0	0	0	0	2	2	2	2	2	2	0	2	2	0	0	0	0	0	0	1	0	2	1	0	2	1	0	2	2	0	0	0	2	0	0	2	0	2	1	2	1	2	0	0	0	2	0	2	0	1	0	0	2	2	0	0	2	2	0	0	0	2	2	0	0	1	0	0	2	2	0	0	0	0	1	2	0	2	2	2	0	0	0	2	0	2	0	0	0	0	0	2	2	2	2	0	0	0	2	2	2	1	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	2	0	1	2	2	0	0	2	2	0	0	0	2	0	2	0	0	1	2	2	2	0	0	2	2	2	2	0	2	0	0	0	0	0	2	2	2	0	0	2	0	0	0	0	0	2	2	0
Beroe_forskalii	2	0	0	2	0	2	2	0	0	2	0	0	0	2	2	1	0	0	1	2	2	0	0	2	2	2	0	2	0	0	0	0	1	2	0	2	0	1	0	0	0	2	1	2	0	0	0	0	2	2	2	2	0	2	0	2	2	0	0	0	0	0	0	2	0	2	1	0	2	0	0	2	0	0	0	2	2	1	0	2	0	1	1	2	1	1	0	0	0	2	0	1	0	0	0	0	2	0	1	0	2	2	0	0	0	2	2	0	0	1	0	0	2	0	0	0	0	0	0	2	0	2	2	2	0	0	0	2	0	2	1	0	0	0	0	2	2	2	2	0	0	2	2	2	0	2	2	2	2	0	0	0	2	0	0	0	0	2	0	2	0	0	2	2	2	2	0	2	2	0	0	2	2	0	0	0	2	0	0	0	0	1	2	2	2	0	2	2	0	2	0	2	2	0	0	0	0	0	2	2	0	0	0	2	0	0	0	1	0	0	0	0
Lobatolampea_tetragona	2	0	0	1	1	2	0	0	0	0	0	0	0	1	0	2	0	0	1	0	1	0	0	2	0	1	2	0	0	0	0	0	0	1	0	2	0	0	2	0	0	2	0	2	0	2	0	0	0	2	0	0	2	1	0	0	2	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	0	1	0	2	2	0	2	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	2	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	2	0	0	0	2	0	2	1	0	2	0	0	2	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	2	0	1	2	0	2	0	0	0	1	0	1	0	0	0	2	2	0	0	0	1	0	1	1	0
Ocyropsis_sp_Bimini_Bahamas	2	0	0	2	0	2	2	0	2	0	0	0	0	2	0	2	0	0	0	2	2	0	1	0	2	2	2	0	0	2	0	0	2	1	0	2	1	2	0	1	0	2	0	0	0	0	0	0	2	2	2	0	2	2	0	0	2	0	0	0	0	2	0	2	0	2	1	0	2	2	0	2	2	0	0	0	2	1	2	0	0	1	2	0	0	0	1	0	0	2	1	2	0	0	0	0	2	0	1	0	2	2	2	0	2	2	2	2	0	2	0	0	2	1	0	0	0	0	2	2	0	2	2	2	0	0	0	2	0	0	0	0	0	2	2	2	2	2	0	0	2	2	2	2	2	1	2	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	2	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	2	0	2	2	1	2	0	2	0	0	0	0	0	0	2	2	2	0	0	2	0	0	1	2	0	2	0	0
Ocyropsis_sp_Florida_USA	2	0	0	0	0	1	2	0	0	0	0	0	0	2	0	2	0	0	0	2	1	0	2	0	1	0	2	0	0	0	0	0	1	1	0	1	1	1	0	0	0	1	2	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	0	0	0	0	2	2	2	2	2	2	0	0	2	0	1	1	0	0	0	2	1	0	0	0	0	0	1	2	0	0	0	2	1	0	0	0	2	2	0	0	0	0	1	2	0	2	0	0	0	0	0	2	2	2	0	0	0	2	0	2	1	0	0	0	0	2	0	0	0	0	2	2	2	2	2	1	1	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	2	0	0	2	0	2	0	2	1	0	0	0	2	0	2	0	2	0	2	2	0	0	0	1	0	2	0	0
Ocyropsis_crystallina	2	0	0	2	2	2	2	0	0	0	0	0	0	0	0	2	0	0	0	2	2	0	2	0	2	2	2	0	0	0	0	0	2	2	0	0	1	2	0	2	0	2	1	0	0	0	0	0	2	2	2	0	2	2	0	2	2	0	0	0	0	2	0	2	0	2	2	0	2	2	0	2	2	0	1	0	2	2	2	0	0	1	2	2	0	2	2	0	0	2	2	0	0	2	0	0	2	2	2	0	2	2	2	0	2	0	2	2	2	1	1	0	2	2	0	1	0	0	2	2	0	2	2	2	0	0	0	2	2	2	0	0	0	2	2	2	2	2	2	0	2	2	2	2	2	1	0	2	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	2	2	2	0	2	0	0	0	0	0	0	0	2	0	0	2	0	2	2	2	0	0	2	2	2	2	2	2	0	0	0	0	2	0	2	2	2	0	0	2	0	0	2	2	0	2	2	0
Mnemiopsis_leidyi	2	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	2	2	2	2	2	0	1	0	0	1	2	2	0	1	1	0	1	0	1	1	2	0	0	0	0	1	2	1	1	2	2	0	0	2	0	0	0	0	2	0	2	0	2	0	0	2	0	0	2	0	0	1	0	1	2	0	2	0	1	1	2	1	0	1	0	0	2	1	1	0	0	0	0	2	2	1	0	0	2	2	0	2	2	1	0	0	2	2	0	2	2	0	1	0	0	1	0	0	0	0	2	0	0	0	1	2	2	1	0	0	2	2	2	0	2	2	0	1	2	2	2	2	1	2	0	1	0	0	0	2	0	0	0	0	2	0	2	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	2	1	0	1	2	0	2	0	0	2	2	2	0	2	2	0	0	0	0	0	2	2	2	0	2	2	0	1	1	0	0	1	2	0
Bolinopsis_ashleyi	0	1	0	0	0	0	2	0	2	0	0	0	0	2	0	2	0	0	1	2	0	0	0	0	2	0	0	2	0	2	2	0	2	1	0	0	1	0	0	0	0	2	1	2	0	0	0	0	2	2	0	2	0	1	0	1	2	2	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	0	2	0	1	0	0	0	0	0	2	0	1	2	1	0	0	0	0	0	2	0	0	0	0	0	0	2	2	2	1	0	0	0	2	0	1	0	0	0	0	2	2	1	0	0	0	2	0	0	0	2	0	0	0	2	0	0	1	0	0	2	0	2	2	2	2	0	2	2	0	2	2	2	2	0	1	0	0	0	0	0	0	0	2	2	2	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	2	2	0	2	0	2	0	0	0	0	0	0	0	0	0	2	0	2	0	2	2	0	0	2	1	0	0	0	0
Lobata_sp_Punta_Arenas_Argentina	2	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	2	1	2	2	0	0	0	0	1	1	2	1	1	0	0	0	0	1	2	1	0	1	0	0	2	2	2	1	0	0	0	2	0	0	0	0	0	0	0	2	0	1	1	0	0	1	0	1	0	0	1	0	1	2	0	2	0	0	1	2	1	0	1	0	0	2	0	0	0	0	0	0	2	2	1	0	0	2	2	0	1	0	2	0	1	0	0	0	0	0	0	0	0	0	1	2	0	2	2	0	0	0	0	0	0	2	1	0	0	0	1	2	2	2	2	0	1	0	1	0	0	2	2	2	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	2	2	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	2	0	2	2	1	2	1	2	0	0	0	0	2	0	2	0	2	0	0	2	0	0	0	1	0	0	1	0
Eurhamphaea_vexilligera	2	0	0	2	0	2	2	0	0	0	0	0	0	2	0	1	0	0	1	2	0	0	0	2	1	2	0	0	0	2	0	0	1	2	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	2	0	0	2	0	0	0	0	2	0	2	0	2	0	0	2	1	0	2	2	0	0	0	0	1	0	0	0	0	2	0	1	0	2	0	0	2	0	0	0	1	0	0	2	0	0	0	1	2	2	0	2	2	2	2	1	2	0	0	2	1	0	0	0	0	2	2	0	2	0	1	0	0	0	2	2	2	1	0	0	2	1	0	0	0	0	0	2	2	0	2	0	2	0	0	2	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	2	2	2	0	0	2	1	0	0	2	0	0	0	0	0	0	2	2	0	0	0	2	0	1	1	2	0	0	0	0
Cestum_veneris	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	2	0	0	2	0	2	0	0	2	1	1	0	0	0	1	0	0	1	1	0	2	1	2	0	1	0	0	0	1	0	0	0	0	2	2	2	0	2	1	0	1	0	0	0	0	0	2	0	1	0	2	1	0	1	1	0	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0	2	1	0	0	1	0	0	2	1	1	0	2	0	0	0	2	2	2	0	0	0	1	0	0	2	0	0	0	0	2	2	0	0	2	2	0	0	0	1	2	2	0	0	0	2	1	2	1	0	2	0	2	2	0	0	2	1	1	2	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	2	2	0	1	2	2	0	0	0	1	0	0	0	0	0	2	1	0	1	2	2	2	0	2	2	2	2	0	0	0	0	0	0	0	2	2	1	0	0	0	0	0	0	0	0	0	0	1	0
Bolinopsis_infundibulum	2	0	0	0	0	0	2	0	0	0	0	2	0	2	0	1	0	0	0	2	0	0	0	1	0	1	2	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	2	0	0	1	1	0	1	0	0	0	0	2	0	0	2	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	2	0	0	0	0	2	2	0	2	2	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	0	2	2	0	2	2	1	2	0	0	0	0	0	0	0	0	0	1	0	0	2	2	0	0	0	0	0	0	0	0
Ctenophora_sp_Florida_USA	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	1	0	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	2	0	0	1	0	0	0	0	0	0	0	2	2	1	1	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	2	0	0	1	2	2	2	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	0	2	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	2	1	1	0	2	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	0	0	1	0
Sycon_ciliatum	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2
Sycon_coactum	2	0	2	0	0	2	2	2	2	2	2	2	0	2	2	1	0	1	0	2	2	2	2	2	2	2	0	0	2	0	0	2	1	2	1	2	2	2	2	2	2	2	0	2	2	2	2	1	2	2	1	0	2	2	2	2	2	2	2	2	2	0	2	1	2	2	1	2	2	2	2	2	0	2	0	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	0	2	2	2	0	2	2	0	2	2	2	2	2	0	0	2	2	0	1	2	2	2	0	2	1	2	2	2	2	2	0	0	2	2	0	0	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	0	2	2	0	2	2	2	0	1	2	2	2	2	2	2	2
Corticium_candelabrum	0	0	2	1	0	2	1	0	2	0	2	2	2	2	2	0	1	2	0	2	2	2	2	0	2	2	2	0	1	2	2	0	1	0	1	0	1	1	2	0	1	2	2	0	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	1	0	2	0	1	2	1	2	0	2	2	1	2	1	2	1	1	2	0	0	0	1	2	2	1	2	2	0	2	2	0	2	0	1	0	0	2	2	0	0	2	1	2	0	2	0	0	2	0	1	0	1	0	0	2	2	0	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	0	2	0	2	0	2	2	1	2	2	0	2	2	1	2	0	0	2	2	2	1	0	2	2	2	2	0	0	0	2	0	0	0	2	0	2	2	1	1	0	0	0	1	0	2	2	1	2	2	2	2	0	0	0	1	2	0	2	2	2	0	0	0	2	2	0	1	1	1	0	2	2	0
Oscarella_carmela	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Hyalonema_populiferum	0	2	2	0	0	2	2	2	2	0	2	2	2	1	2	0	0	2	1	2	1	2	2	1	2	0	2	0	2	0	2	2	1	1	0	1	2	2	0	2	2	0	2	2	2	2	2	2	2	2	0	0	2	0	1	0	2	2	0	2	0	2	2	0	2	2	0	0	1	2	2	1	0	0	2	2	0	2	0	2	2	1	1	2	1	0	0	2	2	1	1	0	2	1	2	2	2	0	0	2	2	2	0	1	0	0	0	2	2	0	0	2	1	0	2	1	0	0	1	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	1	2	2	2	0	0	1	2	2	1	0	1	2	1	0	2	2	0	2	2	2	2	2	0	1	2	0	2	2	2	2	2	0	2	2	2	0	1	2	1	2	2	2	2	2	0	2	1	0	2	1	2	2	2	0	2	1	0	2	1	2	2	2	0	2	0	0	1	0	2
Aphrocallistes_vastus	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Sympagella_nux	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	0	0	2	2	0	1	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	1	0	0	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	1	2	2	2	2
Rossella_fibulata	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	0	2	1	2	1	2	2	0	2	2	2	2	1	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	1	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	0	2	2	2	0	2	2	2	2	2	0	2	1	2	2	2	2	2	2	1	0	2	1	2	2	2	2	0	2	2	2	2	2	0	0	2	0	0	2	2	2	2	0	2	2	0	2	2	2	0	2	2	2	2	2	2	1	2	2	2	2	1	0	2	2	2	0	0	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	0	2	2	2	0	2	0	0	2	1	2	2	2	0	2	2	2	0	2	2	2	2	2	2	1	2	2	2	2
Chondrilla_nucula	2	2	0	1	1	2	2	2	2	0	2	2	2	2	2	2	0	2	1	2	2	2	0	2	0	2	2	2	2	1	2	2	2	1	0	0	2	2	2	2	1	2	2	2	2	0	2	0	2	2	1	1	0	0	2	1	2	2	0	2	2	2	2	1	2	2	0	2	0	2	2	0	0	2	0	2	1	0	2	0	2	2	1	2	0	0	0	2	2	1	1	1	2	0	2	0	0	2	1	2	2	0	2	2	0	2	2	2	2	0	0	0	0	2	2	0	0	2	2	2	0	2	0	1	2	0	0	1	2	2	2	2	2	0	0	2	2	2	2	2	1	2	1	0	2	2	1	2	0	2	2	2	2	1	2	2	1	2	2	2	0	0	2	0	2	0	2	2	0	2	1	2	2	0	0	0	1	2	2	0	2	1	0	0	2	2	2	2	1	2	0	1	2	1	0	2	2	2	2	0	0	2	2	2	2	1	2	1	2	2	0	2
Ircinia_fasciculata	2	2	2	0	1	0	1	1	2	0	0	2	2	2	2	2	1	2	2	2	2	2	0	2	0	0	0	0	0	1	2	0	1	2	0	2	1	2	2	0	0	0	1	2	2	0	2	2	2	0	1	2	1	1	0	1	2	2	2	2	2	0	2	0	2	1	2	2	2	1	0	1	2	2	2	0	1	0	0	2	2	0	1	2	0	0	1	2	2	1	0	1	0	0	2	1	2	0	1	2	0	2	1	2	0	0	0	0	1	0	0	2	0	0	0	1	0	2	0	0	1	2	2	2	2	2	2	2	2	0	1	2	0	2	0	2	1	0	2	2	1	0	0	2	2	2	0	2	0	0	1	0	2	2	2	2	2	0	2	0	0	0	2	0	2	0	2	0	0	2	0	2	0	0	0	2	1	2	0	0	0	1	2	0	0	1	2	2	2	1	1	0	2	1	2	2	0	2	2	0	0	1	2	0	0	0	2	0	0	2	0	2
Amphimedon_queenslandica	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	1	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2
Petrosia_ficiformis	2	0	0	0	2	2	0	2	2	2	0	2	2	2	0	2	0	2	0	0	2	2	2	2	0	2	0	2	2	0	2	2	1	2	1	0	2	0	2	2	2	1	2	1	2	2	0	2	0	2	2	1	2	0	0	0	0	2	0	2	2	0	2	2	2	0	1	2	2	1	2	0	2	1	2	0	0	2	2	2	2	2	2	2	2	2	0	0	2	1	2	0	2	0	0	2	1	1	1	0	2	2	2	2	0	2	0	1	2	0	1	2	0	2	0	0	1	0	0	2	1	2	0	2	0	0	2	0	2	2	1	2	0	0	1	0	2	0	2	2	1	0	0	0	2	2	1	0	2	2	0	2	2	0	2	2	2	0	2	2	2	0	2	2	2	2	2	2	0	2	0	0	2	2	0	0	2	2	2	2	2	1	2	2	2	2	0	2	2	2	0	0	2	1	0	0	2	2	2	0	2	1	2	2	2	0	2	1	1	1	0	2
Spongilla_lacustris	2	2	2	1	1	1	2	2	0	2	2	2	2	0	2	2	2	0	0	2	0	0	2	2	0	0	2	2	0	2	2	2	1	1	1	2	2	2	2	2	0	2	0	1	0	0	2	1	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	1	2	2	1	0	2	2	2	2	2	2	2	1	1	0	2	2	0	2	2	2	2	2	2	0	1	2	0	0	2	2	0	0	2	2	2	1	0	2	1	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	0	0	2	0	0	2	0	0	2	0	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	0	1	2	2	2	2	2	0	0	2	2	2	2	0	2	0	2	2	2	0	2	2	2	1	2	1	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	0	2	1	2	0	0	2
Cliona_varians	2	2	2	0	2	0	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	0	2	2	2	2	2	2	2	1	2	0	2	2	0	2	2	2	2	2	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	0	2	2	1	2	2	2	2	0	1	2	2	2	2	2	0	1	2	1	0	0	2	2	2	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	0	2	2	2	1	2	0	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	1	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	1	2	1	2	2	2	2	0	1	2	2	1	2
Pseudospongosorites_suberitoides	0	0	2	0	0	0	2	1	2	0	2	2	0	2	0	2	1	2	0	2	0	2	0	0	0	0	2	0	0	0	2	1	2	1	1	2	1	0	2	0	0	0	0	2	1	2	2	1	2	0	1	0	2	0	2	1	2	2	0	2	1	2	2	0	0	2	0	0	0	2	0	0	0	2	0	1	0	0	0	0	2	1	0	2	0	0	0	0	2	0	0	0	0	0	2	2	2	0	0	2	2	2	0	2	2	0	0	2	1	1	0	0	0	2	2	0	0	2	0	2	0	2	2	1	0	0	2	1	2	0	1	0	2	2	0	1	2	2	0	2	2	2	2	0	2	2	1	2	0	2	2	2	0	1	1	0	0	2	0	0	0	0	2	0	2	0	0	2	1	2	2	2	0	1	0	2	1	1	0	0	0	1	0	0	2	2	2	2	2	1	0	0	0	1	2	0	0	2	2	1	2	1	2	2	2	1	0	0	2	0	1	2
Mycale_phylophylla	2	2	2	0	0	2	2	2	0	1	2	2	2	2	0	2	2	2	0	0	2	2	2	2	0	2	2	2	2	1	2	2	2	2	1	2	2	1	2	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	1	2	1	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	1	2	2	2	2	0	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	0	0	2	2	2	1	2	2	0	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	1	2	1	2	2	1	2	2	2	1	2	2	2	2	2	1	0	0	2	1	2	2
