Species	1-236	237-996	997-1383	1384-2117	2118-2720	2721-3448	3449-3967	3968-4143	4144-4224	4225-4439	4440-4908	4909-4983	4984-5064	5065-5367	5368-5504	5505-5636	5637-5802	5803-5993	5994-6230	6231-6378	6379-6677	6678-6869	6870-7040	7041-7296	7297-7602	7603-7730	7731-7946	7947-8285	8286-8619	8620-9188	9189-9380	9381-9502	9503-9915	9916-10071	10072-10125	10126-10228	10229-10732	10733-10985	10986-11122	11123-11204	11205-11364	11365-11489	11490-11616	11617-11712	11713-11935	11936-12207	12208-12363	12364-12491	12492-12636	12637-12957	12958-13316	13317-13576	13577-13878	13879-14112	14113-14692	14693-14824	14825-15134	15135-15303	15304-15617	15618-15792	15793-15877	15878-16256	16257-16466	16467-16878	16879-17058	17059-17241	17242-17752	17753-17992	17993-18123	18124-18344	18345-18615	18616-18852	18853-19160	19161-19655	19656-20250	20251-20970	20971-21778	21779-22081	22082-22359	22360-22705	22706-22850	22851-23112	23113-23433	23434-23633	23634-23926	23927-24085	24086-24420	24421-24607	24608-24743	24744-24930	24931-25226	25227-25388	25389-25674	25675-25960	25961-26186	26187-26583	26584-26812	26813-26988	26989-27295	27296-27596	27597-27873	27874-28171	28172-28424	28425-28759	28760-29106	29107-29752	29753-30003	30004-30642	30643-30998	30999-31210	31211-31649	31650-32303	32304-32855	32856-33572	33573-34287	34288-34827	34828-34955	34956-35231	35232-35326	35327-35625	35626-35842	35843-36005	36006-36189	36190-36312	36313-36756	36757-36922	36923-37065	37066-37281	37282-37517	37518-37694	37695-37846	37847-38149	38150-38265	38266-38462	38463-38646	38647-38760	38761-38862	38863-39014	39015-39779	39780-39957	39958-40179	40180-40337	40338-40576	40577-40745	40746-40909	40910-41216	41217-41541	41542-41683	41684-42045	42046-42486	42487-42781	42782-42953	42954-43182	43183-43414	43415-43683	43684-44096	44097-44616	44617-45496	45497-46020	46021-46163	46164-46225	46226-46316	46317-46511	46512-46623	46624-46723	46724-47030	47031-47320	47321-47508	47509-47668	47669-47865	47866-48098	48099-48227	48228-48439	48440-48722	48723-49003	49004-49388	49389-49897	49898-50284	50285-50757	50758-51102	51103-51645	51646-52221	52222-52566	52567-52649	52650-52840	52841-52908	52909-53131	53132-53261	53262-53422	53423-53591	53592-53722	53723-54161	54162-54266	54267-54649	54650-54950	54951-55089	55090-55270	55271-55403	55404-55609	55610-55880	55881-56213	56214-56335	56336-56516	56517-56701	56702-56882	56883-56977	56978-57230	57231-57791	57792-58948	58949-59733
Allomyces_macrogynus	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	1	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Spizellomyces_punctatus	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	0	2	1	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2
Rhizopus_oryzae	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	0	0	2	0	2	2	2	0	2	2	0	2	2	2	2	2	0	1	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	1	0	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	0	2	0	2	0	0	2	2	2	2	0	0	2	0	0	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	1	2	2	2	2	0	2	2	0	1	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
Mortierella_verticillata	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Amoebidium_parasiticum	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Sphaeroforma_arctica	2	2	2	0	2	2	1	0	2	0	1	2	2	2	0	2	0	0	1	2	0	2	2	2	0	2	2	2	1	1	2	2	2	2	0	2	1	0	2	0	2	2	2	2	0	1	2	0	2	2	0	0	2	2	0	2	2	2	0	0	2	2	0	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	0	2	2	0	0	0	2	2	2	2	2	0	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	1	2	1	2	2	0	0	0	2	2	0	0	2	2	2	2	2	2	2	2	0	2	2	2	2	0	0	2	2	2	0	2	2	0	2	0	0	2	2	1	2	2	0	2	0	2	2	2	2	2	0	2	0	2	0	2	2	2	2	2	2	2	2	1	2	2	0	1	2	0	0	0	0	0	2	1	2	2	2	2	1	0	2	0	2	2	2	0	0	2	1	2	2	2	2	2	1
Capsaspora_owczarzaki	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	2	2	2	0	2	0	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Ministeria_vibrans	2	2	2	2	0	2	2	2	2	2	2	0	2	0	2	2	2	2	0	2	2	2	2	1	2	2	0	2	0	1	0	2	0	2	0	2	2	2	2	2	2	2	2	2	0	0	2	2	2	0	2	2	0	2	2	2	0	2	2	2	0	2	2	2	2	2	1	2	0	0	2	2	2	2	0	1	0	2	2	1	2	0	2	2	1	2	0	2	0	2	1	2	0	2	2	2	2	2	0	2	2	1	2	2	2	0	2	2	2	2	0	2	2	1	2	2	0	0	2	2	2	2	1	2	0	2	2	2	0	2	2	2	0	2	2	2	2	2	0	2	1	2	1	2	2	2	0	2	2	2	0	2	2	2	2	1	2	0	2	2	2	2	2	2	2	0	0	0	2	0	0	2	2	2	0	1	2	2	0	0	1	1	0	0	1	0	2	2	1	2	2	0	2	2	2	2	2	2	2	1	0	2	2	2	2	2	0	1	0	1
Monosiga_ovata	2	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	2	2	2	0	0	2	2	0	2	2	0	2	0	1	2	0	2	0	0	0	1	0	2	0	2	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	0	0	2	2	2	0	0	0	0	0	1	0	0	2	2	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	2	0	2	0	0	2	2	1	0	0	2	0	1	0	0	0	0	2	2	2	0	1	0	1	1	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	0	2	0	2	0	0	0	0	2	2	0	0	0	0	0	0	2	2	0	2	0	0	0	2	0	1	1	1	0	0	0	2	2	2	0	0	0	2	0	0	2	2	1	0	0	0	2	0	0	0	1	1	0	0	0	2	2	0	0	0	1	2	2	2	0	0	2	2	0	0	2	0	0	2	2	0	0	0	0
Salpingoeca_rosetta	2	2	2	0	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	0	2	0	1	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	0	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2
Euplokamis_dunlapae	2	2	2	2	0	0	0	2	2	2	0	2	0	1	2	2	2	2	0	2	1	0	2	1	2	2	2	0	2	1	2	0	1	2	2	2	1	2	2	0	1	2	0	2	2	1	0	2	2	1	1	1	0	1	0	2	2	2	0	1	2	1	0	0	2	1	2	2	2	0	0	2	2	0	2	1	1	1	1	2	0	2	0	1	2	2	1	2	2	0	0	2	1	0	2	0	2	2	0	0	0	0	2	2	0	0	1	2	2	2	0	0	1	1	0	1	2	0	2	1	2	2	2	2	0	2	2	0	0	2	0	1	0	1	2	2	2	2	1	2	0	2	0	1	0	2	0	2	0	0	1	2	2	2	0	1	2	0	0	0	0	0	2	2	2	0	0	0	2	0	0	2	2	0	2	0	1	2	1	0	0	1	1	0	0	2	1	2	0	2	0	2	2	2	0	2	2	1	1	2	0	2	0	0	2	2	0	0	0	0
Coeloplana_astericola	2	2	0	0	1	0	2	0	2	2	0	0	0	1	2	2	0	2	0	0	0	1	2	2	0	2	2	0	0	0	2	0	2	2	2	0	0	1	0	2	2	0	2	2	0	0	0	2	2	0	0	0	2	2	0	2	0	2	2	0	2	2	2	0	0	0	0	2	0	2	2	2	2	0	2	0	0	2	0	2	1	2	1	0	0	2	0	2	0	2	0	2	2	2	0	0	2	2	0	2	0	0	2	2	2	0	0	0	0	2	2	0	1	2	0	2	2	0	0	2	0	2	0	2	0	2	0	2	0	2	1	2	0	2	2	2	0	2	1	2	1	2	0	0	2	2	0	2	2	2	1	0	0	0	1	2	2	1	0	0	2	0	0	2	0	0	2	0	2	0	0	2	2	1	0	1	0	0	2	2	0	1	0	0	2	0	2	2	2	2	2	1	2	0	2	2	2	0	1	2	2	2	2	0	2	0	0	0	0	0
Vallicula_sp	2	2	0	1	1	0	1	0	0	2	2	0	0	1	2	2	2	2	2	0	2	0	2	0	0	2	2	0	0	0	2	2	2	2	0	2	1	0	2	0	2	0	0	2	0	2	0	2	2	2	0	0	2	2	1	2	2	2	2	1	0	2	2	2	2	1	0	2	0	2	0	2	2	0	1	0	0	2	1	1	2	0	0	0	0	2	0	2	2	2	0	2	0	0	2	1	2	2	0	0	0	0	2	2	2	1	2	2	2	2	2	0	0	1	0	0	2	1	2	2	1	0	0	2	2	2	0	2	2	2	2	2	0	2	2	2	2	2	0	0	2	2	0	0	2	2	0	2	2	1	2	0	0	2	2	2	1	2	0	2	2	0	2	2	2	2	2	0	1	0	0	2	2	0	0	1	1	2	2	0	0	2	0	0	0	0	2	0	1	2	0	2	0	2	0	2	2	0	2	2	1	2	0	0	2	2	2	2	0	1
Pleurobrachia_bachei	0	1	2	2	0	1	2	0	0	2	0	0	0	2	2	0	2	2	2	2	0	2	2	2	2	2	0	0	2	0	2	0	2	2	2	2	0	2	0	0	2	0	2	2	0	2	0	2	2	2	2	0	2	2	2	2	0	2	2	2	0	0	2	2	2	2	0	0	2	2	0	2	2	1	2	0	1	2	2	2	0	2	2	2	0	2	2	2	0	2	0	2	2	0	0	0	0	0	1	2	0	0	2	1	0	0	2	2	0	2	2	2	2	0	1	2	2	0	0	0	0	2	0	0	1	2	0	1	0	0	2	1	0	2	0	2	0	2	2	2	0	2	0	0	2	2	0	0	0	1	2	2	0	0	2	0	0	0	0	2	0	0	2	0	2	2	2	2	2	2	0	2	0	0	0	2	0	2	2	0	2	2	0	2	2	0	0	2	0	0	0	2	2	1	2	0	0	2	0	2	0	2	2	0	0	2	0	1	2	2
Pleurobrachia_atlantica	2	2	2	2	1	2	2	2	2	2	1	2	0	2	2	2	2	2	2	2	2	1	2	1	2	2	2	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	1	2	0	2	2	2	2	2	2	1	2	2	2	1	2	2	2	0	2	2	2	2	2	2	2	2	2	0	1	2	2	1	2	2	0	2	2	1	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	0	2	0	2	2	2	2	2	1	2	0	0	2	2	0	2	2	2	1	2	2	2	2	2	2	1	2	2	2	0	2	2	2	2	0	2	2	2	0	2	2	2	2	0	0	2	2	0	1	1	0	2	2	0	2	0	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	0
Dryodora_glandiformis	2	2	2	2	2	1	1	2	2	2	0	2	0	2	2	2	2	2	1	2	2	0	0	2	2	2	2	0	2	2	2	0	0	2	2	2	0	0	0	0	2	2	2	2	0	0	0	0	2	2	0	2	2	0	2	2	2	2	2	0	2	2	2	2	2	1	0	2	0	1	0	2	1	1	2	0	1	2	0	2	2	2	0	0	2	2	1	2	2	2	0	1	0	0	2	2	2	2	2	2	0	0	2	0	2	2	2	2	2	2	2	1	0	2	2	2	2	1	2	2	2	0	2	2	1	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	0	2	0	0	2	2	2	2	2	0	2	2	2	2	2	1	1	2	1	0	2	0	2	2	2	2	2	0	0	0	0	2	2	1	0	2	0	2	0	0	0	2	0	0	2	0	2	2	1	2	0	2	2	0	0	2	2	2	0	1	0	2	2	0	2	0	0	2	0	2
Beroe_abyssicola	2	2	2	2	0	2	2	2	2	2	0	0	0	1	2	2	2	2	2	2	2	0	2	2	0	2	2	0	2	0	2	2	1	2	2	2	2	2	1	2	2	0	2	2	0	2	0	2	2	2	0	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	1	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	1	0	0	2	2	2	2	2	2	2	2	2	2	1	2	2	2	0	2	0	0	0	2	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	0	2	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	0	2	2	0	0	0	1	2	2	1	0	2	0	0	0	0	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0
Mnemiopsis_leidyi	2	1	1	2	0	2	0	0	0	2	0	0	0	0	2	2	2	2	2	2	2	2	2	0	2	2	0	0	2	0	1	2	2	2	2	2	2	2	2	0	0	2	2	2	0	2	0	0	2	2	2	0	2	2	2	2	2	2	0	0	2	2	2	1	2	0	0	2	0	2	2	2	0	2	1	0	1	0	0	2	2	1	1	2	2	2	0	2	2	1	0	1	0	0	2	1	2	1	2	2	0	0	2	2	2	0	2	2	2	2	1	2	2	1	2	1	1	2	2	2	2	2	2	2	1	2	1	2	2	2	0	2	2	1	0	2	2	2	1	2	2	2	2	0	2	2	1	2	2	1	2	2	2	0	2	2	1	1	0	2	0	0	0	2	2	0	2	0	2	2	0	2	2	0	2	2	2	2	2	0	0	1	0	0	2	2	2	2	0	0	0	2	2	2	2	0	2	2	1	2	2	0	0	0	2	2	0	1	2	1
Bolinopsis_infundibulum	0	0	2	2	0	1	1	0	2	2	0	2	0	0	0	2	2	2	1	2	2	0	0	1	0	2	2	0	1	2	2	0	0	2	2	2	0	2	2	2	2	2	0	2	0	0	0	0	2	1	0	0	0	2	2	0	1	0	0	0	2	0	2	1	2	2	0	0	1	0	2	2	2	1	1	0	1	2	0	0	0	0	0	2	0	0	0	0	2	2	0	2	2	1	2	0	2	2	1	0	0	0	2	0	0	0	2	0	2	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	2	2	1	2	0	2	2	0	2	2	2	2	0	2	0	2	0	2	0	0	2	0	0	2	2	0	1	2	2	2	2	0	0	2	1	2	2	0	0	0	2	0	0	0	2	1	0	2	2	0	1	2	0	2	1	0	0	1	0	0	0	2	0	2	1	2	2	1	2	1	0	0	2	2	0	0	0	2	2	0	1	2	0	1	2	0
Mertensiidae_sp	2	2	0	2	0	0	2	0	0	2	0	0	0	2	0	2	2	2	1	2	1	0	0	0	0	2	2	0	0	2	1	0	0	2	0	2	0	2	2	0	2	0	2	2	0	0	0	2	2	0	0	0	2	2	1	2	1	0	2	0	0	1	0	0	2	2	0	2	0	2	2	2	2	0	1	0	1	2	0	2	2	0	0	0	0	2	0	0	2	0	0	2	2	0	2	0	2	0	0	2	0	0	2	0	2	0	0	2	2	2	1	0	0	1	0	0	2	2	0	2	2	0	2	2	0	2	2	2	0	2	2	0	2	2	1	2	0	2	0	2	2	2	1	0	2	2	0	2	0	1	1	2	0	2	0	1	0	2	1	2	2	2	0	2	2	1	2	0	2	0	0	2	2	0	0	0	0	2	1	0	0	0	0	0	2	0	0	2	2	1	2	0	0	2	2	0	2	0	0	2	0	2	0	0	2	2	0	2	0	0
Sycon_coactum	2	2	2	2	1	2	2	2	2	2	2	0	2	0	2	2	0	0	2	2	2	2	2	0	2	2	0	2	0	2	2	2	2	2	0	0	2	2	0	0	2	2	2	2	0	2	2	2	2	1	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	1	2	2	0	1	1	2	2	0	2	1	1	1	2	2	2	2	0	2	2	2	0	2	2	2	0	2	2	2	2	1	0	2	2	0	1	1	2	2	2	1	2	2	2	2	1	2	1	2	0	1	0	2	1	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	2	1	2	2	0	2	2	2	0	2	2	0	2	2	0	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	2	2	0	2	2	0	2	0	2	0	0	2	2	2	2	0	2	2	2	2	2	2	0	2	1	2	2	2	2	2	2	2	2	2	1
Sycon_ciliatum	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Oscarella_carmela	2	2	2	2	2	2	0	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	0	2	2	2	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	0	2	2	2	0	2
Corticium_candelabrum	0	1	2	0	2	0	1	2	2	2	1	0	2	2	0	2	2	2	2	0	2	1	2	2	2	2	2	2	0	0	0	0	2	2	2	0	2	0	0	2	2	1	2	2	2	2	2	0	2	0	2	1	2	2	0	2	0	2	2	2	0	1	2	0	1	1	1	1	0	0	2	1	1	0	0	1	2	2	0	1	2	2	0	1	2	0	1	2	2	2	2	1	0	1	0	0	2	2	0	2	0	2	0	1	2	1	1	2	2	0	0	2	2	1	1	1	0	2	1	2	0	2	2	0	1	2	2	0	1	0	0	2	2	0	0	2	2	0	2	0	2	0	2	2	0	2	0	2	2	2	2	2	2	0	1	1	0	1	0	2	2	2	0	0	2	0	1	1	2	2	1	2	0	2	2	0	0	1	1	1	2	0	2	0	2	2	0	0	0	2	0	1	2	2	0	0	0	0	2	0	0	2	2	0	2	0	1	2	0	0
Hyalonema_populiferum	2	0	2	0	0	1	1	2	0	2	0	2	2	0	2	2	2	2	0	2	0	1	2	1	2	2	2	1	1	2	0	2	2	2	2	2	0	1	0	2	0	2	2	2	2	0	0	0	0	0	0	1	1	0	0	2	0	2	2	0	2	0	1	0	1	2	1	1	0	0	0	2	0	1	0	1	1	1	0	0	0	0	0	0	2	0	0	2	2	2	2	2	0	0	0	1	0	1	1	0	1	0	2	0	1	1	1	0	2	2	1	0	1	2	1	1	1	0	0	1	0	2	2	2	1	2	1	2	0	2	2	0	2	0	2	2	2	2	0	2	1	2	0	2	2	0	0	2	0	0	0	2	1	0	0	0	1	0	0	2	2	0	1	2	2	0	2	2	2	0	0	2	2	0	1	1	0	2	2	0	0	1	0	2	0	2	0	0	2	2	0	0	2	1	2	0	2	2	2	0	1	2	0	0	1	2	0	0	0	1
Aphrocallistes_vastus	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	0	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	0	2	2	2	2	2	2	2	2	0	1	0	2	0	2	2	2	2	2	2	2	2	0	2	0	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	1	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0
Rossella_fibulata	2	2	2	2	0	2	1	2	2	2	0	2	2	2	2	2	2	2	2	2	0	2	2	0	2	2	0	2	2	2	0	2	1	2	2	2	2	2	0	2	2	2	0	2	2	1	0	2	2	2	0	2	2	0	2	2	2	2	2	2	2	1	0	2	2	2	0	2	2	2	2	2	2	2	2	0	2	0	2	0	2	2	2	2	2	2	2	2	0	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	0	1	0	2	2	0	2	2	2	0	2	2	2	0	0	2	1	2	2	2	2	2	2	2	0	2	0	2	2	2	0	0	0	2	0	2	0	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	2	2	0	0	2	2	2	2	2	2	2	2	2	2	0	2	2	1	2	2	2	2	2	1	1	1	2	2	2	0	0	2	2	0	0	2	2	2	2	0	2	2	2	0	2	2	2	0	2	0	0	1	0	1
Sympagella_nux	2	2	2	1	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	0	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	1	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	1	1	2	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	1	0	2
Chondrilla_nucula	2	2	2	0	0	2	0	2	2	2	1	0	0	0	2	2	2	0	1	2	0	0	2	2	2	0	2	2	2	1	0	2	0	2	2	0	2	2	2	2	2	2	2	2	0	0	0	2	2	0	2	1	0	2	1	2	2	0	2	0	0	0	2	1	2	2	0	1	0	2	1	2	0	1	1	0	2	2	1	0	0	1	2	1	2	2	0	2	2	2	2	2	0	2	2	2	0	2	2	2	2	1	0	2	0	0	2	0	2	2	0	0	2	0	1	0	0	0	0	0	2	2	2	2	2	0	0	2	0	2	2	1	2	2	0	2	2	2	2	2	0	0	1	2	2	2	1	2	2	1	0	2	2	2	2	2	1	2	2	0	2	2	1	2	2	0	0	2	1	0	2	2	2	2	0	0	0	2	2	1	0	1	2	0	2	0	2	2	1	0	0	1	2	1	1	0	2	0	2	2	0	2	2	0	2	0	0	2	0	0
